Neighborhoods,r0,r1,Rpl1,Ln(Rpl1),Rpl2,Rpl3,Rpl4,Rpl Overall,Raw Visitor,Ln(Visitors),Raw Visits,Ln(Visits),Tot pop,Sum of Area Sqmi,Pop Dens,Ln(pop dens),Males,Males perc,Females,Female perc,White pop,White perc,Asian pop,Asian perc,Ln(Asian perc+1),Afri Amer perc,Afri Amer pop,Ln(Afri Amer perc+1),Pacific Isl pop,Pacific Isl perc,Log(Pacific Isl perc+1),Other pop,Two or more pop
Cerritos,147.8,257.65,0.792903104,-0.232054254,1.287436364,1.761927273,1.324236364,1.663281818,27270,10.21354248,46635,10.75010661,50172,8.72193414,5752.393815,8.657371363,24040,0.479151718,25757,0.513373993,11277,0.224766802,30249,0.602906003,0.471818234,0.002571155,129,0.002567855,73,0.001454995,0.001453938,2208,1719
Charter Oak,0,0,0.615189058,-0.485825647,2.2507,2.1306,1.13805,2.79185,25386,10.14195312,44887,10.7119035,12903,1.230378116,10487.02007,9.257893588,6122,0.474463303,6449,0.499806247,6016,0.466248159,1610,0.124777184,0.117584957,0.00170503,22,0.001703578,0,0,0,3202,1151
Chatsworth,353.47,542.35,1.234737148,0.210858112,1.132207692,1.685753846,0.675076923,1.807269231,65724,11.09321943,131579,11.78736271,49862,16.05158292,3106.360303,8.041206999,23007,0.461413501,23879,0.478901769,28720,0.575989732,9839,0.197324616,0.180089581,0.005354779,267,0.005340493,58,0.00116321,0.001162534,3651,2400
Cheviot Hills,196.27,239.89,0.868648226,-0.140817039,0.30745,1.8471,0.2638,1.6148,19802,9.893538222,39850,10.59287768,9094,1.737296451,5234.570067,8.563039993,4747,0.521992523,5017,0.551682428,8258,0.908071256,804,0.088409941,0.084717861,0.003078953,28,0.003074223,7,0.000769738,0.000769442,110,327
Chinatown,124.67,311.68,0.220482099,-1.511938771,3.1007,1.707,1.588125,2.95625,53982.93893,10.89642333,101468.8244,11.52750688,19002,0.881928397,21545.96684,9.977943924,12106,0.637090833,5546,0.291864014,5500,0.289443217,6306,0.331859804,0.286576314,0.012735502,242,0.012655088,41,0.002157668,0.002155344,1948,474
Claremont,82.23,123.34,1.777114813,0.574991158,1.5736,1.8321,0.6577875,2.025375,11784,9.374497958,21888,9.99369382,31943,14.2169185,2246.830071,7.717275644,18508,0.579407069,19698,0.616660927,25952,0.812447172,5720,0.179068967,0.164725116,0.008483862,271,0.008448076,17,0.000532198,0.000532056,2840,1707
Commerce,160.69,612.14,2.463736553,0.901679122,3.226166667,2.482866667,1.743366667,2.498733333,36852,10.51466517,70504,11.16342472,13510,7.39120966,1827.846945,7.51089402,6937,0.513471503,6614,0.489563286,10191,0.754330126,123,0.009104367,0.009063172,0.010510733,142,0.010455879,15,0.001110289,0.001109673,2412,320
Compton,295.28,634.61,0.432027337,-0.839266413,3.223320833,2.380729167,1.745291667,2.888691667,32450,10.38745572,59627,10.99586377,111410,10.36865608,10744.88334,9.282184952,54350,0.487837717,57884,0.519558388,42385,0.380441612,1095,0.009828561,0.009780575,0.00435329,485,0.004343842,336,0.003015887,0.003011348,31925,2323
Covina,448.41,719.94,0.546951205,-0.603395685,2.2371,2.136,1.3156,2.8827,40357,10.60552014,70771,11.16720459,44542,5.469512052,8143.688061,9.004998435,23870,0.535898702,25198,0.565713259,23690,0.531857573,5483,0.123097301,0.116090316,0.009743613,434,0.00969645,0,0,0,15054,2266
Cudahy,406.62,1072,0.186713586,-1.678179462,3.466683333,2.18875,1.871916667,2.655966667,53982.93893,10.89642333,101468.8244,11.52750688,24016,1.120281516,21437.46876,9.972895547,11920,0.496335776,12186,0.507411726,17123,0.712983011,149,0.006204197,0.00618503,0.003164557,76,0.00315956,40,0.001665556,0.00166417,6106,511
Culver City,296,403.86,0.522297936,-0.649517095,1.1808,1.590342857,0.849671429,2.477128571,10299,9.239802082,17719,9.782392789,29462,3.656085552,8058.345348,8.994463523,14312,0.485778291,15174,0.515036318,19485,0.661360396,4474,0.151856629,0.141375101,0.006958116,205,0.00693402,17,0.000577014,0.000576848,2023,1760
Del Aire,250.4,364.22,0.754021685,-0.282334151,1.9224,2.07305,1.15625,2.4581,53982.93893,10.89642333,101468.8244,11.52750688,13911,1.508043369,9224.53577,9.129622145,7874,0.566026885,6764,0.486233916,7981,0.57371864,927,0.066637912,0.064511563,0.004241248,59,0.004232279,351,0.025231831,0.024918764,2893,1083
Del Rey,193.75,585.05,0.327035399,-1.11768686,1.780428571,1.663142857,0.954371429,2.339271429,20432,9.924857578,36096,10.49393733,28866,2.289247793,12609.38204,9.442196422,13811,0.478452158,15278,0.529273193,18498,0.640823114,4329,0.149968821,0.13973483,0.019781057,571,0.019587954,52,0.001801427,0.001799806,2644,1866
Diamond Bar,76.5,118.23,2.044146768,0.714980474,1.210144444,1.527077778,1.377522222,1.388877778,53982.93893,10.89642333,101468.8244,11.52750688,46464,18.39732092,2525.585123,7.834228047,22297,0.479876894,24129,0.519305269,13076,0.281422176,24827,0.534327652,0.428092273,0.005940083,276,0.00592251,529,0.011385158,0.011320835,3954,1899
Downey,267.8,652,0.550203408,-0.597467236,2.060378261,1.929565217,1.419352174,2.300765217,82573,11.32143803,155486,11.95431097,118940,12.65467838,9398.895526,9.148347464,57811,0.486051791,61608,0.51797545,78082,0.65648226,8262,0.069463595,0.06715721,0.002438204,290,0.002435236,232,0.001950563,0.001948663,24432,3408
Duarte,639.18,947.28,13.52462088,2.604511793,1.099133333,1.7569,0.9335,1.9763,25650,10.15229885,46764,10.75286896,16059,40.57386265,395.7966768,5.980900637,7893,0.491500093,9405,0.585652905,9336,0.581356249,2669,0.166199639,0.15375029,0.007347905,118,0.007321041,0,0,0,2810,736
Eagle Rock,325.85,464.78,0.518041306,-0.657700299,1.8178875,1.9686875,1.0920125,2.536225,36295,10.49943527,70268,11.16007178,33724,4.144330451,8137.381997,9.004223785,15890,0.471177796,17269,0.512068557,17852,0.529355948,8427,0.24988139,0.223048659,0.009340529,315,0.009297176,104,0.003083857,0.003079112,3887,2027
East Hollywood,587.29,778.5,0.133771687,-2.011620761,2.858516667,1.677727778,1.563533333,3.515711111,22141,10.00518637,40500,10.60905725,66648,2.407890374,27679.00097,10.22842932,34252,0.513923899,34325,0.515019205,26689,0.400447125,12562,0.188482775,0.172677515,0.003135878,209,0.003130971,79,0.001185332,0.00118463,25267,1785
East La Mirada,170.07,302.34,0.556293638,-0.586458998,1.9723,1.7049,0.8499,2.09495,53982.93893,10.89642333,101468.8244,11.52750688,10391,1.112587276,9339.492033,9.142007144,4963,0.477624868,5472,0.526609566,7384,0.710614955,572,0.055047637,0.053585919,0.00904629,94,0.009005617,11,0.001058608,0.001058048,2010,339
East Los Angeles,391.96,876.51,0.256038632,-1.36242694,3.353039286,2.073903571,1.869067857,2.257164286,29718,10.2995082,62894,11.04920605,117348,7.169081703,16368.62361,9.703121587,59598,0.507874016,61763,0.526323414,60517,0.515705423,1224,0.010430514,0.010376492,0.005138562,603,0.005125405,7,5.97E-05,5.96E-05,56847,1728
East Pasadena,0,62.47,0.438403763,-0.82461496,1.1612,1.5466,1.2474,1.4186,53982.93893,10.89642333,101468.8244,11.52750688,2390,0.438403763,5451.595542,8.603663605,1260,0.527196653,1155,0.483263598,1056,0.441841004,862,0.360669456,0.307976826,0.00376569,9,0.003758618,0,0,0,284,166
Echo Park,231.48,343.71,0.253293122,-1.373207876,2.247466667,1.4629,1.326477778,2.930177778,30098,10.312214,73739,11.20828711,35650,2.2796381,15638.44717,9.657487723,17838,0.500364656,17482,0.490378682,19779,0.554810659,5409,0.151725105,0.14126091,0.017251052,615,0.017103942,17,0.000476858,0.000476744,6839,1418
El Monte,211.48,484.36,0.407406561,-0.897943671,2.7034875,2.0938875,1.798408333,3.043595833,90450,11.41255249,170188,12.04465899,110090,9.777757475,11259.22792,9.328943331,54756,0.497374875,55886,0.507639204,55549,0.504578072,32668,0.296739032,0.259852676,0.005141248,566,0.005128077,400,0.003633391,0.003626806,19469,1510
El Segundo,178.72,208.51,0.910502969,-0.093758119,0.8434,1.0593,0.213216667,1.120933333,18090,9.803114578,38918,10.56921215,16850,5.463017816,3084.37581,8.034104585,8367,0.496557864,8534,0.506468843,13448,0.79810089,1259,0.074718101,0.072058396,0.004866469,82,0.004854666,61,0.003620178,0.003613641,427,1338
El Sereno,296.59,428.15,0.367325298,-1.001507453,2.936054545,2.256709091,1.669418182,2.466709091,130766,11.78116475,228133,12.33768407,40776,4.04057828,10091.62481,9.219461132,19748,0.484304493,21098,0.517412203,18069,0.443128311,3981,0.097630959,0.093154184,0.009098489,371,0.009057347,46,0.001128115,0.001127479,16836,880
Elizabeth Lake,60.2,180.61,8.748143903,2.168841552,1.8206,2.5474,0.5159,0.5054,53982.93893,10.89642333,101468.8244,11.52750688,1733,8.748143903,198.0991647,5.288767737,737,0.425274091,871,0.502596653,1523,0.878822851,24,0.013848817,0.013753798,0.009232545,16,0.009190186,0,0,0,10,35
Elysian Park,210.08,280.11,0.999182362,-0.000817972,3.14055,2.65645,1.6035,3.46985,331,5.802118375,862,6.759255271,4132,1.998364724,2067.690622,7.634187622,1671,0.404404647,1784,0.431752178,931,0.225314618,1234,0.298644724,0.261321201,0,0,0,0,0,0,1128,28
