Afri Amer perc,Afri Amer pop,Asian perc,Asian pop,Female perc,Females,Log(Afri Amer perc+1),Log(Asian perc+1),Log(Pacific Isl perc+1),Log(Rpl1),Log(pop dens),Males,Males perc,Neighborhoods,Other pop,Pacific Isl perc,Pacific Isl pop,Pred Formula Risk Score Tentative 2,Pred Formula Risk Score Tentative,r0,r1,Log[r1+1],Risk Score Tentative,Rpl1,Rpl2,Rpl3,Rpl4,Rpl Overall,Sum of Area Sqmi,Tot pop,Two or more pop,White perc,White pop,Ln(Visitors),Ln(Visits),Pop Dens,Raw Visitor,Raw Visits,r1-r0,Log[r1-r0],Risk Score Tentative Prediction Formula
0.009098489,371,0.097630959,3981,0.517412203,21098,0.009057347,0.093154184,0.001127479,-1.001507453,9.219461132,19748,0.484304493,El Sereno,16836,0.001128115,46,9.906813424,8.5660955,296.59,428.15,6.0618065082,,0.367325298,2.936054545,2.256709091,1.669418182,2.466709091,4.04057828,40776,880,0.443128311,18069,11.78116475,12.33768407,10091.62481,130766,228133,131.56,4.8870353731,8.6416024398
0.009232545,16,0.013848817,24,0.502596653,871,0.009190186,0.013753798,0,2.168841552,5.288767737,737,0.425274091,Elizabeth Lake,10,0,0,4.956296092,-1.163317891,60.2,180.61,5.2018615307,,8.748143903,1.8206,2.5474,0.5159,0.5054,8.748143903,1733,35,0.878822851,1523,10.89642333,11.52750688,198.0991647,53982.93893,101468.8244,120.41,4.7991732476,5.7406330495
0,0,0.298644724,1234,0.431752178,1784,0,0.261321201,0,-0.000817972,7.634187622,1671,0.404404647,Elysian Park,1128,0,0,6.725527906,2.812746579,210.08,280.11,5.6387460518,,0.999182362,3.14055,2.65645,1.6035,3.46985,1.998364724,4132,28,0.225314618,931,5.802118375,6.759255271,2067.690622,331,862,70.03,4.263102323,9.5033138441
0.004581152,49,0.186611818,1996,0.478309648,5116,0.00457069,0.171102034,0.002241315,-0.764738815,8.943751645,4884,0.456619297,Elysian Valley,3522,0.002243829,24,6.701317299,4.981365969,314.62,619.41,6.4303805498,,0.465455485,2.495766667,1.985866667,1.605333333,2.3568,1.396366455,10696,433,0.363500374,3888,10.89642333,11.52750688,7659.880371,53982.93893,101468.8244,304.79,5.7228985918,6.8400534333
0.000248932,13,0.077130766,4028,0.520709266,27193,0.000248901,0.074300808,0.000363758,-0.118074047,8.583457064,23905,0.457748502,Encino,1439,0.000363824,19,2.795112845,1.68320387,225.8,287.79,5.6656997804,,0.88863025,1.327472727,2.080954545,0.542454545,1.814072727,9.774932751,52223,1482,0.814124045,42516,10.4499023,11.08870558,5342.543149,34541,65428,61.99,4.1429759836,2.8836479812
0.012903979,442,0.039938108,1368,0.505532362,17316,0.012821432,0.0391612,0.003613584,-1.38806738,9.883686662,16558,0.483402914,Exposition Park,16823,0.003620121,124,7.991640217,8.673736523,389.61,612.24,6.4187563764,,0.249557138,3.365728571,2.038171429,1.809042857,2.809785714,1.746899965,34253,887,0.186990921,6405,9.330697869,10.05082939,19607.8772,11279,23175,222.63,5.4099929004,8.5696952033
0.009316722,599,0.003390727,218,0.487533635,31345,0.009273589,0.003384991,0.000186629,-1.270579739,9.776836422,32247,0.501563156,Florence-Firestone,31677,0.000186646,12,8.866198812,10.73162605,908.36,1893.03,7.5464621131,10,0.28066886,3.545853846,2.162507692,1.907261538,2.580253846,3.648695177,64293,890,0.382809948,24612,10.89642333,11.52750688,17620.81974,53982.93893,101468.8244,984.67,6.893321613,9.9186335671
0.003009698,189,0.258849945,16255,0.526267178,33048,0.003005178,0.230198562,0.009367268,-0.800296057,9.139908435,29407,0.468286702,Gardena,13867,0.009411278,591,5.967903335,2.798840376,311.53,455.06,6.1226243798,,0.449195957,2.06306,1.957313333,1.497393333,2.656386667,6.737939361,62797,2406,0.225806965,14180,11.22001642,11.84317121,9319.911717,74609,139131,143.53,4.9734870985,5.3565965737
0.00764185,233,0.187143326,5706,0.484191538,14763,0.007612799,0.171549855,0.001376553,-1.009662119,9.255374616,15381,0.504460479,Glassell Park,6342,0.001377501,42,4.712694231,5.467210781,442.98,591.7,6.3846883688,,0.364342063,2.3460375,1.978825,1.3847625,2.4138375,2.914736507,30490,1029,0.532469662,16235,7.262628601,7.824046011,10460.63681,1426,2500,148.72,5.008766883,6.643128997
0.002943496,571,0.162247986,31474,0.516936702,100279,0.002939172,0.150356049,0.000587495,0.502979468,8.009005311,91692,0.472670849,Glendale,11485,0.000587668,114,2.671483517,-0.587994624,371.93,477.01,6.1696316528,,1.653640909,2.030441026,1.969433333,0.966228205,2.398782051,64.49199544,193987,7018,0.712908597,138295,11.55002855,12.21377292,3007.923676,103780,201546,105.08,4.6641935264,3.6041738312
0.00330539,166,0.118635631,5958,0.550546584,27649,0.003299939,0.112109756,0.001532049,0.333933558,7.92530563,26426,0.526194222,Glendora,5130,0.001533223,77,2.340020034,1.071896811,447.07,736.94,6.6038625205,,1.396450357,1.620353846,2.0568,0.6841,2.2467,18.15385465,50221,2532,0.771967902,38769,11.14189077,11.76218111,2766.409723,69002,128307,289.87,5.672876432,4.0466660357
0.004424322,257,0.163321168,9487,0.504045586,29279,0.004414563,0.15127899,0.001668487,0.133850568,8.127813612,28646,0.493148327,Granada Hills,7957,0.00166988,97,1.648939938,0.821990986,305.89,580.85,6.3662126826,,1.143221973,1.39114,1.80768,0.783166667,1.69968,17.1483296,58088,3489,0.581944636,33804,12.05261256,12.66235127,3387.385324,171547,315638,274.96,5.6202559277,2.5393171404
0.003802188,155,0.002428494,99,0.512657607,20899,0.003794978,0.00242555,0.000171697,-1.162691754,9.698853891,18909,0.463842418,Green Meadows,14555,0.000171712,7,9.577419182,10.55429877,437.11,874.22,6.7744752833,,0.312643488,3.4387875,2.3703625,1.8203375,2.7737625,2.501147905,40766,468,0.311754894,12709,10.46905701,11.20242502,16298.91616,35209,73308,437.11,6.0824700204,9.8149131146
